"","RAB.mean","GAD.mean","GAD.Total.Adj","CRA.mean","FOC.mean","IUS.mean","MAAS.mean","RiskPerception","FinancialSatisfaction","age","sex","edu","Country"
"25",2.33333333333333,1.57142857142857,4,2.66666666666667,3.5,2,4,49.8004646360351,19,25,1,3,"Turkey"
"26",3.66666666666667,1.28571428571429,2,2.16666666666667,3.5,2.66666666666667,3,35,70,50,1,2,"Turkey"
"27",4,2.57142857142857,11,3.66666666666667,4.5,4.33333333333333,1,50,70,21,1,1,"Turkey"
"28",3.33333333333333,2,7,3.83333333333333,3.5,2.33333333333333,4.6,50,30,33,1,3,"Turkey"
"29",3.33333333333333,1.42857142857143,3,2.5,3,3.33333333333333,3.8,49.8004646360351,50,44,2,3,"Turkey"
"30",1.83333333333333,1.14285714285714,1,2.16666666666667,2.66666666666667,4,4.6,10,75,21,2,1,"Turkey"
"31",4,2.28571428571429,9,3.83333333333333,3.16666666666667,4,3.8,50,40,38,1,2,"Turkey"
"32",3.66666666666667,2.57142857142857,11,4,3.5,3.66666666666667,2.8,84,71,24,1,3,"Turkey"
"33",4,3.42857142857143,17,3.66666666666667,3.66666666666667,3,3.4,67,85,42,1,3,"Turkey"
"34",3.83333333333333,2.85714285714286,13,3.83333333333333,3.5,4.33333333333333,3.4,95,89,23,1,1,"Turkey"
"35",3.83333333333333,3.57142857142857,18,3.16666666666667,3.83333333333333,4.66666666666667,1.6,30,50,26,1,3,"Turkey"
"36",3.66666666666667,1.42857142857143,3,3.16666666666667,3.5,3.66666666666667,2.6,51,0,23,1,3,"Turkey"
"37",3.5,3.42857142857143,17,4,4,4.66666666666667,3.6,46,15,23,1,3,"Turkey"
"38",3.16666666666667,1,0,2,4,2,4.6,16,68,31,2,2,"Turkey"
"39",3.83333333333333,2.42857142857143,10,2.66666666666667,3.83333333333333,3,3.6,90,70,34,2,2,"Turkey"
"40",4,3.14285714285714,15,3.83333333333333,2.83333333333333,4,2,85,45,24,1,1,"Turkey"
"41",3.83333333333333,3.28571428571429,16,3.66666666666667,3.83333333333333,4.66666666666667,1.4,100,19,23,1,3,"Turkey"
"42",2.83333333333333,2.42857142857143,10,2.66666666666667,3.33333333333333,2.66666666666667,3.4,33,81,34,2,3,"Turkey"
"43",2.83333333333333,2,7,2.33333333333333,3.66666666666667,2.66666666666667,3.8,36,40,24,1,3,"Turkey"
"44",3.83333333333333,3,14,3,3.83333333333333,4,3,100,88,23,2,3,"Turkey"
"45",3.66666666666667,1.71428571428571,5,3.16666666666667,2.83333333333333,2.66666666666667,3.8,49.8004646360351,50,25,1,3,"Turkey"
"46",2,1,0,2,2.66666666666667,1,4.8,53,13,43,2,3,"Turkey"
"47",4,2.42857142857143,10,3,2.66666666666667,3.33333333333333,3,35,79,65,1,3,"Turkey"
"48",2.33333333333333,1.85714285714286,6,3.16666666666667,2.5,4,2.8,41,20,20,2,1,"Turkey"
"49",4,2.85714285714286,13,3.66666666666667,3.83333333333333,4.33333333333333,2.8,53,0,25,1,2,"Turkey"
"50",3.83333333333333,2.28571428571429,9,3,3.16666666666667,4,3.2,20,70,33,1,3,"Turkey"
